,game_title,platform,year,genre,publisher,north_america,europe,japan,rest_of_world,global,review
1147,Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,0.8,0.35,0.03,0.12,1.31,53.53
1148,Burnout 3: Takedown,XB,2004,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31,92.97
1149,Yu-Gi-Oh! The Sacred Cards,GBA,2002,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3,73.0
1150,Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,0.68,0.49,0.0,0.14,1.3,63.0
1151,NBA Live 07,PS2,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3,60.69
1152,LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Adventure,Activision,0.83,0.35,0.0,0.12,1.3,80.0
1153,Yoshi's Cookie,NES,1992,Puzzle,Nintendo,0.53,0.12,0.63,0.02,1.3,72.0
1154,Monster Hunter Freedom,PSP,2005,Role-Playing,Capcom,0.23,0.01,1.03,0.03,1.3,87.0
1155,World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,Activision,0.56,0.55,0.0,0.18,1.3,90.0
1156,SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.01,1.3,77.0
1157,Dead Space,X360,2008,Action,Electronic Arts,0.83,0.34,0.0,0.12,1.3,89.07
1158,Test Drive 5,PS,1997,Racing,Accolade,1.05,0.2,0.0,0.05,1.3,73.0
1159,R.B.I. Baseball 2,NES,1987,Sports,Namco Bandai Games,0.0,0.0,1.3,0.0,1.3,80.0
1160,Lost Planet: Extreme Condition,X360,2006,Shooter,Capcom,1.07,0.02,0.1,0.1,1.3,67.95
1161,Digimon World,PS,1999,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3,76.0
1162,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008,Shooter,Ubisoft,0.63,0.43,0.04,0.2,1.29,83.73
1163,Mega Man Battle Network 3 Blue / White Version,GBA,2002,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29,77.91
1164,Resident Evil Zero,GC,2002,Action,Capcom,0.54,0.27,0.45,0.04,1.29,86.0
1165,Far Cry 2,PS3,2008,Shooter,Ubisoft,0.41,0.63,0.01,0.25,1.29,83.98
1166,Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts,0.68,0.36,0.02,0.23,1.29,81.0
1167,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,1.29,44.0
1168,Transformers,PS2,2004,Shooter,Atari,0.63,0.49,0.0,0.16,1.29,77.56
1169,Super Street Fighter IV,PS3,2010,Fighting,Capcom,0.66,0.3,0.18,0.15,1.29,87.0
1170,Gardening Mama,DS,2009,Puzzle,505 Games,0.74,0.41,0.01,0.13,1.29,70.0
1171,Skate 3,PS3,2010,Sports,Electronic Arts,0.56,0.52,0.0,0.21,1.29,82.0
1172,Moshi Monsters: Moshling Zoo,DS,2011,Misc,Activision,0.3,0.83,0.0,0.16,1.29,55.0
1173,Devil May Cry 4,X360,2008,Action,Capcom,0.76,0.32,0.08,0.13,1.29,83.26
1174,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005,Racing,Take-Two Interactive,1.22,0.05,0.0,0.01,1.29,86.21
1175,Petz Wild Animals: Dolphinz,DS,2007,Simulation,Ubisoft,0.68,0.47,0.0,0.13,1.28,53.0
1176,Champions of Norrath,PS2,2004,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28,85.24
1177,Resistance 3,PS3,2011,Shooter,Sony Computer Entertainment,0.56,0.47,0.05,0.2,1.28,85.0
1178,WWE SmackDown vs Raw 2008,PS3,2007,Fighting,THQ,0.6,0.47,0.01,0.2,1.28,73.0
1179,Mafia II,X360,2010,Action,Take-Two Interactive,0.65,0.49,0.0,0.13,1.28,84.0
1180,Army Men 3D,PS,1999,Action,3DO,1.1,0.14,0.0,0.04,1.28,67.67
1181,MAG: Massive Action Game,PS3,2010,Shooter,Sony Computer Entertainment,0.75,0.28,0.09,0.16,1.28,81.0
1182,Twisted Metal 4,PS,1999,Racing,989 Studios,1.07,0.16,0.0,0.04,1.28,68.04
1183,Manhunt,PS2,2003,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28,76.84999999999998
1184,The Sims 2,PSP,2005,Simulation,Electronic Arts,0.46,0.5,0.0,0.31,1.28,67.44
1185,Silent Hill 2,PS2,2001,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28,87.0
1186,Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1.02,0.15,0.0,0.11,1.27,52.0
1187,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.5799999999999998,0.4,0.21,0.08,1.27,89.58
1188,LEGO Batman: The Videogame,PS2,2008,Adventure,Activision,0.72,0.42,0.0,0.13,1.27,83.0
1189,Road Rash,PS,1995,Racing,Electronic Arts,0.71,0.48,0.0,0.08,1.27,79.0
1190,Tony Hawk's Underground,XB,2003,Sports,Activision,0.85,0.37,0.0,0.05,1.27,86.0
1191,Hogan's Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27,76.0
1192,Xevious,NES,1984,Shooter,Namco Bandai Games,0.0,0.0,1.27,0.0,1.27,68.0
1193,Burnout Paradise,X360,2008,Racing,Electronic Arts,0.59,0.53,0.01,0.14,1.27,88.36
1194,Imagine: Wedding Designer,DS,2008,Simulation,Ubisoft,0.55,0.5799999999999998,0.0,0.14,1.27,50.0
1195,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,76.33
