,game_title,platform,year,genre,publisher,north_america,europe,japan,rest_of_world,global,review
1475,Rabbids Go Home,Wii,2009,Platform,Ubisoft,0.23,0.71,0.0,0.13,1.08,70.0
1476,Ready 2 Rumble Boxing,PS,1998,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08,73.0
1477,Dragon Ball Z: Taiketsu,GBA,2003,Fighting,Atari,0.77,0.2899999999999999,0.0,0.02,1.08,38.15
1478,Disney's Lilo & Stitch,GBA,2002,Platform,Ubisoft,0.77,0.2899999999999999,0.0,0.02,1.08,54.0
1479,LEGO Battles,DS,2009,Strategy,Warner Bros. Interactive Entertainment,0.64,0.33,0.0,0.11,1.08,81.0
1480,Star Fox: Assault,GC,2005,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,82.0
1481,Doko Demo Issyo,PS,1999,Misc,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07,70.0
1482,Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Activision,0.53,0.32,0.01,0.22,1.07,78.0
1483,Virtua Fighter,SAT,1994,Fighting,Sega,0.17,0.12,0.77,0.02,1.07,89.57
1484,WWE SmackDown vs. Raw 2010,PS2,2009,Fighting,THQ,0.53,0.42,0.0,0.12,1.07,84.0
1485,NHL 99,PS,1997,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07,83.0
1486,SoulCalibur III,PS2,2005,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,88.0
1487,Imagine: Babysitters,DS,2008,Simulation,Ubisoft,0.61,0.35,0.0,0.1,1.07,60.0
1488,EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,0.72,0.25,0.0,0.1,1.07,68.0
1489,Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.46,0.4,0.03,0.17,1.07,80.0
1490,Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,75.0
1491,Ridge Racer Revolution,PS,1995,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07,72.0
1492,007: Quantum of Solace,PS3,2008,Action,Activision,0.41,0.46,0.02,0.18,1.07,67.17
1493,Mass Effect 3,PS3,2012,Role-Playing,Electronic Arts,0.49,0.38,0.03,0.17,1.07,91.65
1494,Bayonetta,PS3,2009,Action,Sega,0.39,0.32,0.21,0.14,1.07,85.62
1495,Hot Wheels Turbo Racing,PS,1999,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07,81.0
1496,NCAA Football 99,PS,1998,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06,76.0
1497,World Tour Soccer,PSP,2005,Sports,Sony Computer Entertainment,0.1,0.62,0.0,0.34,1.06,73.26
1498,Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,84.0
1499,Freekstyle,PS2,2002,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,77.5
1500,Imagine: Fashion Designer New York,DS,2008,Simulation,Ubisoft,0.64,0.32,0.0,0.1,1.06,68.0
1501,NBA Street V3,PS2,2005,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06,90.0
1502,Worms Armageddon,PS,1999,Strategy,Microprose,0.18,0.81,0.0,0.08,1.06,83.15
1503,Hulk,PS2,2003,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.06,70.0
1504,NFL Blitz,N64,1998,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06,89.0
1505,NFL Quarterback Club 98,N64,1997,Sports,Acclaim Entertainment,1.01,0.05,0.0,0.01,1.06,65.0
1506,Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,0.41,0.59,0.0,0.06,1.06,82.0
1507,Spider-Man 2,GBA,2004,Action,Activision,0.76,0.28,0.0,0.02,1.06,70.0
1508,Seek and Destroy,PS2,2002,Racing,Play It,0.52,0.4,0.0,0.14,1.06,86.0
1509,Guitar Hero 5,X360,2009,Misc,Activision,0.61,0.34,0.0,0.11,1.06,85.66
1510,Crackdown 2,X360,2010,Shooter,Microsoft Game Studios,0.59,0.34,0.02,0.1,1.06,70.68
1511,FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.25,0.67,0.0,0.13,1.05,74.0
1512,FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,0.11,0.61,0.01,0.32,1.05,80.0
1513,Namco Museum Battle Collection,PSP,2005,Misc,Sony Computer Entertainment,0.73,0.17,0.0,0.15,1.05,78.0
1514,LEGO Battles: Ninjago,DS,2011,Strategy,Warner Bros. Interactive Entertainment,0.79,0.17,0.0,0.09,1.05,78.0
1515,Arc the Lad II,PS,1996,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.92,0.13,1.05,81.25
1516,Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05,53.0
1517,Adventure Island,NES,1986,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05,65.0
1518,LEGO Star Wars II: The Original Trilogy,DS,2006,Action,LucasArts,0.95,0.02,0.0,0.08,1.05,86.0
1519,NBA 2K3,PS2,2002,Sports,Sega,0.51,0.4,0.0,0.13,1.05,81.0
1520,The Simpsons: Road Rage,XB,2001,Racing,Electronic Arts,0.78,0.26,0.0,0.01,1.05,61.61
1521,Dave Mirra Freestyle BMX,PS,2000,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05,80.94
1522,Forza Motorsport,XB,2005,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,1.05,91.0
1523,Monster Rancher 2,PS,1998,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05,86.0
1524,Yakuza 3,PS3,2009,Adventure,Sega,0.18,0.18,0.62,0.07,1.05,79.65
1525,MVP Baseball 2003,PS2,2003,Sports,Electronic Arts,0.51,0.4,0.0,0.13,1.04,82.69
1526,Legacy of Kain: Soul Reaver,PS,1999,Action,Eidos Interactive,0.5799999999999998,0.4,0.0,0.07,1.04,88.16
1527,Tales of Destiny,PS,1997,Role-Playing,Namco Bandai Games,0.09,0.06,0.83,0.07,1.04,82.0
1528,Diablo II: Lord of Destruction,PC,2001,Role-Playing,Activision,1.03,0.01,0.0,0.0,1.04,85.94
1529,Medal of Honor: Airborne,X360,2007,Shooter,Electronic Arts,0.42,0.5,0.01,0.12,1.04,77.0
1530,Spore Creatures,DS,2008,Simulation,Electronic Arts,0.65,0.28,0.0,0.1,1.04,70.0
1531,Mega Man X4,PS,1996,Platform,Virgin Interactive,0.45,0.3,0.22,0.07,1.04,85.0
1532,Naruto: Clash of Ninja 2,GC,2003,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04,83.0
1533,Skate 2,X360,2009,Sports,Electronic Arts,0.8,0.14,0.01,0.09,1.04,85.0
1534,Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0.0,0.14,1.04,75.36
1535,Jeremy McGrath Supercross 98,PS,1998,Racing,Acclaim Entertainment,0.91,0.1,0.0,0.03,1.04,58.0
1536,F-Zero: Maximum Velocity,GBA,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,83.37
1537,Bomberman 64,N64,1997,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04,68.88
1538,The Sims 3,PS3,2010,Simulation,Electronic Arts,0.42,0.42,0.02,0.18,1.04,80.67
1539,The Biggest Loser,Wii,2009,Sports,THQ,0.84,0.11,0.0,0.09,1.04,63.0
1540,Dante's Inferno,PS3,2010,Action,Electronic Arts,0.6,0.28,0.04,0.13,1.04,75.63
1541,Need for Speed: Most Wanted,XB,2005,Racing,Electronic Arts,0.53,0.46,0.0,0.05,1.04,89.0
1542,Imagine: Animal Doctor,DS,2007,Simulation,Ubisoft,0.45,0.48,0.0,0.11,1.04,55.0
1543,Anno 2070,PC,2011,Strategy,Ubisoft,0.0,0.83,0.0,0.21,1.04,84.77
1544,Professor Layton and the Mask of Miracle,3DS,2011,Adventure,Nintendo,0.18,0.43,0.36,0.06,1.04,84.0
1545,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,Sony Computer Entertainment,0.8,0.11,0.0,0.13,1.04,79.77
1546,Virtua Fighter 5,PS3,2007,Fighting,Sega,0.28,0.49,0.08,0.19,1.03,86.57
1547,MX vs. ATV Unleashed,PS2,2005,Racing,THQ,0.86,0.03,0.0,0.14,1.03,77.84999999999998
1548,Sega Superstars Tennis,Wii,2008,Sports,Sega,0.27,0.64,0.0,0.13,1.03,72.04
1549,Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,0.59,0.34,0.0,0.1,1.03,89.14
1550,The Beatles: Rock Band,PS3,2009,Misc,MTV Games,0.63,0.26,0.0,0.14,1.03,85.0
1551,NCAA March Madness 2004,PS2,2003,Sports,Electronic Arts,0.5,0.39,0.0,0.13,1.03,78.0
1552,Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,0.49,0.43,0.0,0.11,1.03,71.0
1553,WWE '12,PS3,2011,Fighting,THQ,0.45,0.39,0.02,0.17,1.03,78.0
1554,Donkey Kong Land III,GB,1997,Platform,Nintendo,0.68,0.31,0.0,0.04,1.03,80.0
1555,Street Fighter Alpha 3,PS,1998,Fighting,Capcom,0.38,0.12,0.51,0.02,1.03,88.0
1556,LEGO Batman: The Videogame,PS3,2008,Adventure,Activision,0.5799999999999998,0.3,0.0,0.15,1.03,81.0
1557,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.39,0.24,0.34,0.06,1.03,87.0
1558,Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,Take-Two Interactive,0.94,0.0,0.0,0.08,1.03,34.0
1559,Resident Evil: Operation Raccoon City,PS3,2012,Shooter,Capcom,0.4,0.17,0.36,0.09,1.02,63.0
1560,MySims Agents,DS,2009,Adventure,Electronic Arts,0.51,0.4,0.0,0.11,1.02,76.0
1561,Shrek 2,GC,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.02,68.0
1562,Sniper: Ghost Warrior,X360,2010,Shooter,City Interactive,0.44,0.47,0.0,0.11,1.02,65.0
1563,GRID,PS3,2008,Racing,Codemasters,0.3,0.51,0.03,0.18,1.02,86.74
1564,Tomb Raider,PC,1996,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.02,91.67
1565,One Piece Pirate Musou,PS3,2012,Action,Namco Bandai Games,0.0,0.12,0.86,0.04,1.02,78.0
1566,Final Fight 2,SNES,1993,Action,Capcom,0.39,0.12,0.49,0.02,1.02,80.0
1567,The Lost World: Jurassic Park,PS,1997,Action,Electronic Arts,0.57,0.39,0.0,0.07,1.02,59.67
1568,Warhawk,PS3,2007,Simulation,Sony Computer Entertainment,0.47,0.38,0.0,0.17,1.02,84.14
1569,Madden NFL 07,XB,2006,Sports,Electronic Arts,0.97,0.03,0.0,0.03,1.02,84.0
1570,FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.31,0.5799999999999998,0.01,0.11,1.02,71.0
1571,Endless Ocean,Wii,2007,Adventure,Nintendo,0.41,0.43,0.09,0.09,1.02,78.86
1572,Harry Potter and the Prisoner of Azkaban,PS2,2004,Adventure,Electronic Arts,0.5,0.39,0.0,0.13,1.02,77.0
1573,Pong: The Next Level,PS,1998,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01,37.0
1574,Pokémon Rumble Blast,3DS,2011,Action,Nintendo,0.41,0.2,0.34,0.06,1.01,77.0
1575,DiRT,PS3,2007,Racing,Codemasters,0.15,0.64,0.0,0.22,1.01,83.17
1576,Petz: Catz 2,DS,2007,Simulation,Ubisoft,0.51,0.4,0.0,0.11,1.01,73.0
1577,Mercenaries 2: World in Flames,X360,2008,Shooter,Electronic Arts,0.63,0.28,0.01,0.1,1.01,76.0
1578,NBA Jam Tournament Edition,SNES,1995,Sports,Acclaim Entertainment,0.87,0.12,0.0,0.02,1.01,85.0
1579,Guitar Hero 5,PS3,2009,Misc,Activision,0.49,0.36,0.0,0.16,1.01,86.58
1580,EyePet,PS3,2009,Simulation,Sony Computer Entertainment,0.28,0.59,0.04,0.1,1.01,73.39
1581,Oshare Majo Love and Berry: DS Collection,DS,2006,Misc,Sega,0.0,0.0,1.01,0.0,1.01,73.0
1582,Monster Rancher,PS,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01,85.0
1583,Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,0.92,0.01,0.0,0.08,1.01,73.89
1584,Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.44,0.46,0.0,0.11,1.01,70.0
1585,The Simpsons Game,PSP,2007,Platform,Electronic Arts,0.21,0.51,0.0,0.28,1.01,57.75
1586,WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ,0.41,0.41,0.01,0.17,1.01,84.0
1587,Ford Racing 2,PS2,2003,Racing,Empire Interactive,0.49,0.38,0.0,0.13,1.0,63.18
1588,Breath of Fire III,PS,1997,Role-Playing,Capcom,0.2899999999999999,0.19,0.46,0.07,1.0,75.0
1589,ModNation Racers,PS3,2010,Racing,Sony Computer Entertainment,0.45,0.35,0.06,0.14,1.0,83.13
1590,Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,0.91,0.01,0.01,0.08,1.0,75.81
1591,Tomb Raider: Underworld,X360,2008,Adventure,Eidos Interactive,0.5,0.38,0.01,0.11,1.0,79.0
1592,WWE SmackDown vs. Raw 2010,X360,2009,Fighting,THQ,0.54,0.35,0.01,0.1,1.0,83.0
1593,Virtua Tennis 3,PS3,2007,Sports,Sega,0.22,0.55,0.03,0.2,1.0,80.38
1594,Dead or Alive 2,PS2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08,1.0,91.37
1595,Bully: Scholarship Edition,X360,2008,Action,Take-Two Interactive,0.5,0.37,0.03,0.1,1.0,83.03
1596,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,Capcom,0.74,0.15,0.03,0.08,1.0,85.9
1597,Game & Watch Gallery,GB,1997,Misc,Nintendo,0.63,0.25,0.09,0.03,1.0,76.0
1598,Excitebike 64,N64,2000,Racing,Nintendo,0.65,0.15,0.19,0.01,1.0,89.07
1599,NES Open Tournament Golf,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0,73.0
1600,Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PS2,2004,Misc,Sammy Corporation,0.0,0.0,1.0,0.0,1.0,58.0
1601,SoulCalibur II,XB,2003,Fighting,Electronic Arts,0.78,0.18,0.03,0.0,1.0,87.0
1602,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),X360,2006,Sports,Konami Digital Entertainment,0.08,0.9,0.02,0.0,1.0,79.13
1603,Road & Track Presents: The Need for Speed,PS,1995,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0,84.0
1604,NFL GameDay 2001,PS,2000,Sports,Sony Computer Entertainment,0.56,0.38,0.0,0.07,1.0,76.0
1605,Aliens vs Predator,X360,2010,Shooter,Sega,0.52,0.37,0.0,0.1,1.0,65.89
1606,Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007,Shooter,Ubisoft,0.33,0.46,0.02,0.18,1.0,86.59
1607,NBA Live 97,PS,1996,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0,78.0
1608,NERF N-Strike Elite,Wii,2009,Shooter,Electronic Arts,0.92,0.0,0.0,0.08,1.0,86.0
1609,Rock Band 2,Wii,2008,Misc,MTV Games,0.92,0.0,0.0,0.08,1.0,88.0
1610,Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1.0,76.01
1611,Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.44,0.45,0.0,0.11,1.0,79.0
1612,Prince of Persia,PS3,2008,Adventure,Ubisoft,0.45,0.36,0.03,0.16,1.0,74.0
1613,Jampack Winter 2000,PS,2000,Misc,Sony Computer Entertainment,0.55,0.38,0.0,0.07,1.0,56.0
1614,NFL Fever 2002,XB,2000,Sports,Microsoft Game Studios,0.74,0.21,0.0,0.04,0.99,79.0
1615,The Simpsons: Hit & Run,GC,2003,Racing,Vivendi Games,0.77,0.2,0.0,0.03,0.99,80.55
1616,DJ Hero,X360,2009,Misc,Activision,0.5,0.39,0.0,0.1,0.99,84.89
1617,Star Wars: The Force Unleashed,PSP,2008,Action,LucasArts,0.41,0.35,0.0,0.22,0.99,83.0
1618,Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,0.46,0.3,0.09,0.14,0.99,87.0
1619,Oddworld: Abe's Exoddus,PS,1998,Platform,GT Interactive,0.55,0.38,0.0,0.06,0.99,90.0
1620,Ratchet & Clank: All 4 One,PS3,2011,Platform,Sony Computer Entertainment,0.67,0.16,0.05,0.11,0.99,76.0
1621,The Bouncer,PS2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,75.0
1622,Shadow The Hedgehog,GC,2005,Platform,Sega,0.76,0.2,0.0,0.03,0.99,54.43
1623,SingStar,PS3,2007,Misc,Sony Computer Entertainment,0.41,0.47,0.0,0.1,0.99,78.0
1624,Pro Evolution Soccer 2008,PSP,2008,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.98,77.0
1625,The Simpsons Game,X360,2007,Platform,Electronic Arts,0.52,0.36,0.0,0.1,0.98,62.83
1626,Mario Party Advance,GBA,2005,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98,56.42
1627,Dragon Age II,X360,2011,Role-Playing,Electronic Arts,0.63,0.25,0.01,0.09,0.98,77.86
1628,ZhuZhu Pets,DS,2010,Simulation,Activision,0.63,0.26,0.0,0.09,0.98,54.0
1629,Resident Evil: The Darkside Chronicles,Wii,2009,Shooter,Capcom,0.42,0.28,0.2,0.08,0.98,80.0
1630,NASCAR 99,N64,1998,Racing,Electronic Arts,0.94,0.04,0.0,0.01,0.98,67.0
1631,Suikoden III,PS2,2002,Role-Playing,Konami Digital Entertainment,0.2899999999999999,0.23,0.38,0.08,0.98,87.0
1632,WipEout Pure,PSP,2005,Racing,Sony Computer Entertainment,0.44,0.33,0.0,0.21,0.98,88.26
1633,Spore,PC,2008,Strategy,Electronic Arts,0.0,0.92,0.0,0.06,0.98,85.13
1634,MySims Agents,Wii,2009,Adventure,Electronic Arts,0.5799999999999998,0.3,0.0,0.1,0.98,74.0
1635,Super Princess Peach,DS,2005,Platform,Nintendo,0.67,0.03,0.21,0.06,0.98,80.0
1636,Madden NFL 10,PS2,2009,Sports,Electronic Arts,0.88,0.04,0.0,0.06,0.98,82.0
1637,Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007,Shooter,Ubisoft,0.84,0.04,0.02,0.08,0.98,86.46
1638,PES 2009: Pro Evolution Soccer,X360,2008,Sports,Konami Digital Entertainment,0.11,0.75,0.03,0.09,0.97,75.0
1639,NCAA Football 06,XB,2005,Sports,Electronic Arts,0.73,0.21,0.0,0.03,0.97,87.87
1640,Ninja Gaiden II,X360,2008,Action,Tecmo Koei,0.62,0.21,0.05,0.09,0.97,85.0
1641,Aliens vs Predator,PS3,2010,Shooter,Sega,0.38,0.43,0.0,0.17,0.97,66.97
1642,The Simpsons Game,Wii,2007,Platform,Electronic Arts,0.44,0.43,0.0,0.11,0.97,62.83
1643,Fire Emblem,GBA,2003,Strategy,Nintendo,0.49,0.18,0.2899999999999999,0.01,0.97,92.0
1644,Need for Speed: Most Wanted - A Criterion Game,X360,2012,Racing,Electronic Arts,0.35,0.51,0.0,0.11,0.97,67.0
1645,The Orange Box,PS3,2007,Shooter,Electronic Arts,0.25,0.53,0.0,0.2,0.97,88.97
1646,Wall-E,Wii,2008,Platform,THQ,0.48,0.39,0.0,0.1,0.97,54.78
1647,NHL 2004,PS2,2003,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97,83.0
1648,Darksiders,X360,2010,Action,THQ,0.62,0.25,0.01,0.09,0.97,83.98
1649,Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97,75.95999999999998
1650,FIFA Soccer 2005,XB,2004,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97,84.0
1651,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.37,0.49,0.0,0.11,0.97,59.0
1652,Sonic Generations,PS3,2011,Platform,Sega,0.35,0.43,0.02,0.17,0.97,79.29
1653,Brink,X360,2011,Shooter,Bethesda Softworks,0.54,0.32,0.01,0.1,0.97,69.74
1654,Prince of Persia,X360,2008,Adventure,Ubisoft,0.52,0.32,0.02,0.1,0.97,80.0
1655,Puzzler Collection,DS,2008,Puzzle,Ubisoft,0.16,0.77,0.0,0.04,0.97,60.0
1656,LEGO Star Wars II: The Original Trilogy,GC,2006,Action,LucasArts,0.75,0.19,0.0,0.03,0.97,86.0
1657,Red Dead Redemption: Undead Nightmare,PS3,2010,Action,Take-Two Interactive,0.36,0.39,0.06,0.16,0.97,88.0
1658,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.31,0.31,0.26,0.08,0.97,72.91
1659,Medal of Honor: Underground,PS,2000,Shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97,82.0
1660,Dark Cloud 2,PS2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96,88.58
1661,Grand Theft Auto: Chinatown Wars,PSP,2009,Adventure,Take-Two Interactive,0.25,0.44,0.03,0.25,0.96,83.0
1662,Cars 2,DS,2011,Platform,Disney Interactive Studios,0.52,0.31,0.04,0.09,0.96,76.0
1663,Jampack Summer '99,PS,1999,Misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96,63.0
1664,LEGO Harry Potter: Years 1-4,PS3,2010,Adventure,Warner Bros. Interactive Entertainment,0.43,0.38,0.0,0.16,0.96,82.0
1665,Sonic the Hedgehog,X360,2006,Platform,Sega,0.4,0.46,0.0,0.11,0.96,60.0
1666,Tamagotchi Connection: Corner Shop 2,DS,2006,Simulation,Namco Bandai Games,0.09,0.0,0.86,0.01,0.96,65.0
1667,FIFA Soccer 10,Wii,2009,Sports,Electronic Arts,0.23,0.63,0.0,0.11,0.96,72.0
1668,NCAA Football 12,X360,2011,Sports,Electronic Arts,0.89,0.0,0.0,0.07,0.96,78.0
1669,Mortal Kombat Trilogy,N64,1996,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96,77.0
1670,NHL 2001,PS2,2000,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96,81.0
1671,Zoo Tycoon DS,DS,2005,Strategy,THQ,0.86,0.02,0.01,0.07,0.96,63.0
1672,Shinobi,PS2,2002,Platform,Sega,0.36,0.28,0.22,0.09,0.96,71.74
1673,Mortal Kombat: Deadly Alliance,XB,2002,Fighting,Midway Games,0.77,0.15,0.0,0.04,0.96,81.0
1674,ESPN NBA 2K5,XB,2004,Sports,Global Star,0.88,0.04,0.0,0.04,0.95,84.15
1675,WWE '13,X360,2012,Action,THQ,0.53,0.33,0.0,0.1,0.95,75.0
1676,Wheel of Fortune,PS2,1975,Misc,Atari,0.47,0.36,0.0,0.12,0.95,55.0
1677,World Championship Poker,PS2,2004,Misc,Play It,0.8,0.03,0.0,0.13,0.95,60.22
1678,Tom Clancy's Splinter Cell: Chaos Theory,PS2,2005,Adventure,Ubisoft,0.36,0.45,0.0,0.14,0.95,88.96
1679,Junior Brain Trainer,DS,2008,Misc,GSP,0.22,0.64,0.0,0.09,0.95,70.0
1680,Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,0.51,0.32,0.0,0.12,0.95,83.65
1681,SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,0.74,0.19,0.0,0.03,0.95,76.0
1682,Littlest Pet Shop: Winter,DS,2008,Simulation,Electronic Arts,0.57,0.2899999999999999,0.0,0.09,0.95,78.0
1683,Wild ARMs,PS,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95,78.89
1684,Kessen,PS2,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95,76.39
1685,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,GBA,2003,Misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.95,77.0
1686,NCAA Football 2000,PS,1999,Sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95,78.0
1687,Madden NFL 08,PS3,2007,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.95,77.0
1688,Mega Man Star Force Dragon / Leo / Pegasus,DS,2006,Role-Playing,Capcom,0.38,0.0,0.53,0.03,0.94,61.0
1689,Dragon Quest Monsters: Terry's Wonderland 3D,3DS,2012,Action,Square Enix,0.0,0.0,0.94,0.0,0.94,75.0
1690,Gangs of London,PSP,2006,Adventure,Sony Computer Entertainment,0.3,0.42,0.0,0.22,0.94,65.0
1691,Killzone,PS2,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.94,74.0
1692,Colin McRae Rally 04,PS2,2003,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94,85.33
1693,Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.64,0.02,0.22,0.06,0.94,81.59
1694,The SpongeBob SquarePants Movie,GC,2004,Platform,THQ,0.73,0.19,0.0,0.03,0.94,70.9
1695,Ace Combat X: Skies of Deception,PSP,2006,Simulation,Namco Bandai Games,0.36,0.28,0.12,0.18,0.94,76.09999999999998
1696,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996,Misc,GT Interactive,0.52,0.36,0.0,0.06,0.94,73.0
1697,Castlevania: Lament of Innocence,PS2,2003,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94,78.58
1698,Bulletstorm,X360,2011,Shooter,Electronic Arts,0.56,0.28,0.01,0.09,0.94,84.55
1699,Destroy All Humans!,PS2,2005,Adventure,THQ,0.78,0.03,0.0,0.13,0.94,75.95999999999998
1700,MVP Baseball 2005,XB,2005,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94,87.16
1701,Ben 10: Alien Force,DS,2008,Action,Koch Media,0.64,0.21,0.0,0.09,0.94,61.75
1702,SaGa Frontier 2,PS,1999,Role-Playing,Square,0.1,0.07,0.71,0.06,0.94,75.0
1703,Midnight Club: LA Remix,PSP,2008,Racing,Take-Two Interactive,0.5,0.26,0.0,0.18,0.94,78.95999999999998
1704,Haze,PS3,2008,Shooter,Ubisoft,0.47,0.3,0.02,0.14,0.94,59.0
1705,NCAA Football 13,X360,2012,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94,68.0
1706,MLB 2000,PS,1999,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94,80.0
1707,Bully,PS2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,87.48
1708,Prince of Persia: The Sands of Time,XB,2003,Adventure,Ubisoft,0.57,0.33,0.0,0.04,0.94,89.0
1709,Hot Shots Golf Fore!,PS2,2003,Sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.94,85.0
1710,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94,89.0
1711,NHL 2003,PS2,2002,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93,81.0
1712,Monster Trucks / Quad Desert Fury Double Value!,GBA,2005,Racing,Majesco Entertainment,0.67,0.25,0.0,0.02,0.93,58.0
1713,Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,0.59,0.3,0.0,0.04,0.93,87.0
